geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037113422,6037113422,"Census Tract 1134.22, Los Angeles, CA",2101,128,1135,137,966,150
14000US06037115101,6037115101,"Census Tract 1151.01, Los Angeles, CA",1656,87,1542,88,114,65
14000US06037115103,6037115103,"Census Tract 1151.03, Los Angeles, CA",28,21,0,12,28,21
14000US06037115104,6037115104,"Census Tract 1151.04, Los Angeles, CA",1915,121,481,83,1434,113
14000US06037115201,6037115201,"Census Tract 1152.01, Los Angeles, CA",2681,150,761,142,1920,195
14000US06037115202,6037115202,"Census Tract 1152.02, Los Angeles, CA",1913,85,846,117,1067,129
14000US06037115301,6037115301,"Census Tract 1153.01, Los Angeles, CA",1653,99,917,112,736,136
14000US06037115302,6037115302,"Census Tract 1153.02, Los Angeles, CA",1056,34,357,46,699,56
14000US06037115401,6037115401,"Census Tract 1154.01, Los Angeles, CA",1933,96,750,126,1183,136
14000US06037115403,6037115403,"Census Tract 1154.03, Los Angeles, CA",1038,52,349,65,689,85
14000US06037115404,6037115404,"Census Tract 1154.04, Los Angeles, CA",860,46,400,68,460,80
14000US06037117101,6037117101,"Census Tract 1171.01, Los Angeles, CA",1465,35,1012,87,453,82
14000US06037117102,6037117102,"Census Tract 1171.02, Los Angeles, CA",802,43,560,63,242,65
14000US06037117201,6037117201,"Census Tract 1172.01, Los Angeles, CA",1239,60,393,76,846,85
14000US06037117202,6037117202,"Census Tract 1172.02, Los Angeles, CA",814,60,648,61,166,49
14000US06037117301,6037117301,"Census Tract 1173.01, Los Angeles, CA",1189,71,934,107,255,90
14000US06037117302,6037117302,"Census Tract 1173.02, Los Angeles, CA",1728,61,1340,104,388,93
14000US06037117303,6037117303,"Census Tract 1173.03, Los Angeles, CA",1049,41,858,97,191,92
14000US06037117404,6037117404,"Census Tract 1174.04, Los Angeles, CA",1362,26,989,123,373,123
14000US06037117405,6037117405,"Census Tract 1174.05, Los Angeles, CA",876,45,43,24,833,52
14000US06037117407,6037117407,"Census Tract 1174.07, Los Angeles, CA",959,35,13,14,946,36
14000US06037117408,6037117408,"Census Tract 1174.08, Los Angeles, CA",858,37,114,36,744,50
14000US06037117510,6037117510,"Census Tract 1175.10, Los Angeles, CA",968,77,143,59,825,85
14000US06037117520,6037117520,"Census Tract 1175.20, Los Angeles, CA",1077,31,175,45,902,52
14000US06037117530,6037117530,"Census Tract 1175.30, Los Angeles, CA",1649,29,387,78,1262,81
14000US06037119001,6037119001,"Census Tract 1190.01, Los Angeles, CA",994,42,729,75,265,69
14000US06037119002,6037119002,"Census Tract 1190.02, Los Angeles, CA",1736,79,1169,122,567,131
14000US06037119201,6037119201,"Census Tract 1192.01, Los Angeles, CA",882,54,678,64,204,75
14000US06037119202,6037119202,"Census Tract 1192.02, Los Angeles, CA",1056,63,776,98,280,93
14000US06037119310,6037119310,"Census Tract 1193.10, Los Angeles, CA",1234,29,592,89,642,94
14000US06037119320,6037119320,"Census Tract 1193.20, Los Angeles, CA",1235,73,361,68,874,89
14000US06037119340,6037119340,"Census Tract 1193.40, Los Angeles, CA",1027,34,12,15,1015,35
14000US06037119341,6037119341,"Census Tract 1193.41, Los Angeles, CA",822,24,269,48,553,51
14000US06037119342,6037119342,"Census Tract 1193.42, Los Angeles, CA",758,28,362,49,396,47
14000US06037119400,6037119400,"Census Tract 1194, Los Angeles, CA",1160,42,938,94,222,87
14000US06037119700,6037119700,"Census Tract 1197, Los Angeles, CA",1302,69,1075,105,227,101
14000US06037119800,6037119800,"Census Tract 1198, Los Angeles, CA",1486,41,1084,107,402,104
14000US06037119900,6037119900,"Census Tract 1199, Los Angeles, CA",1242,62,1019,88,223,82
14000US06037120010,6037120010,"Census Tract 1200.10, Los Angeles, CA",747,19,395,49,352,56
14000US06037120020,6037120020,"Census Tract 1200.20, Los Angeles, CA",1168,38,182,70,986,79
14000US06037120030,6037120030,"Census Tract 1200.30, Los Angeles, CA",734,33,47,25,687,41
14000US06037120103,6037120103,"Census Tract 1201.03, Los Angeles, CA",848,48,57,24,791,52
14000US06037120104,6037120104,"Census Tract 1201.04, Los Angeles, CA",772,32,93,33,679,47
14000US06037120105,6037120105,"Census Tract 1201.05, Los Angeles, CA",868,34,250,51,618,56
14000US06037120106,6037120106,"Census Tract 1201.06, Los Angeles, CA",1205,52,143,70,1062,89
14000US06037120107,6037120107,"Census Tract 1201.07, Los Angeles, CA",1108,26,66,28,1042,38
14000US06037120108,6037120108,"Census Tract 1201.08, Los Angeles, CA",1356,56,347,71,1009,79
14000US06037120300,6037120300,"Census Tract 1203, Los Angeles, CA",1349,117,964,120,385,108
14000US06037120400,6037120400,"Census Tract 1204, Los Angeles, CA",2057,126,711,143,1346,173
14000US06037121010,6037121010,"Census Tract 1210.10, Los Angeles, CA",1298,45,895,108,403,97
14000US06037121020,6037121020,"Census Tract 1210.20, Los Angeles, CA",1085,50,551,83,534,92
14000US06037121101,6037121101,"Census Tract 1211.01, Los Angeles, CA",927,59,365,57,562,79
14000US06037121102,6037121102,"Census Tract 1211.02, Los Angeles, CA",811,57,497,88,314,80
14000US06037121210,6037121210,"Census Tract 1212.10, Los Angeles, CA",766,50,488,67,278,47
14000US06037121221,6037121221,"Census Tract 1212.21, Los Angeles, CA",517,44,337,39,180,51
14000US06037121222,6037121222,"Census Tract 1212.22, Los Angeles, CA",1218,79,408,89,810,106
14000US06037121600,6037121600,"Census Tract 1216, Los Angeles, CA",856,36,660,80,196,81
14000US06037121801,6037121801,"Census Tract 1218.01, Los Angeles, CA",1143,77,371,91,772,86
14000US06037121802,6037121802,"Census Tract 1218.02, Los Angeles, CA",709,35,476,57,233,58
14000US06037121900,6037121900,"Census Tract 1219, Los Angeles, CA",991,95,551,105,440,126
14000US06037122000,6037122000,"Census Tract 1220, Los Angeles, CA",1568,51,969,124,599,141
14000US06037122120,6037122120,"Census Tract 1221.20, Los Angeles, CA",1086,71,604,109,482,103
14000US06037122121,6037122121,"Census Tract 1221.21, Los Angeles, CA",720,42,336,48,384,50
14000US06037122122,6037122122,"Census Tract 1221.22, Los Angeles, CA",639,42,163,39,476,54
14000US06037122200,6037122200,"Census Tract 1222, Los Angeles, CA",890,53,424,70,466,80
14000US06037122410,6037122410,"Census Tract 1224.10, Los Angeles, CA",1171,58,142,51,1029,70
14000US06037122420,6037122420,"Census Tract 1224.20, Los Angeles, CA",1405,43,483,96,922,108
