geoid,GEOID10,name,B19013001,"B19013001, Error"
14000US06037113231,6037113231,"Census Tract 1132.31, Los Angeles, CA",112500,16837
14000US06037113232,6037113232,"Census Tract 1132.32, Los Angeles, CA",113079,12646
14000US06037113233,6037113233,"Census Tract 1132.33, Los Angeles, CA",46474,5578
14000US06037113234,6037113234,"Census Tract 1132.34, Los Angeles, CA",59598,5323
14000US06037113235,6037113235,"Census Tract 1132.35, Los Angeles, CA",89792,16726
14000US06037113237,6037113237,"Census Tract 1132.37, Los Angeles, CA",82024,11812
14000US06037113301,6037113301,"Census Tract 1133.01, Los Angeles, CA",66793,10945
14000US06037113303,6037113303,"Census Tract 1133.03, Los Angeles, CA",93656,11664
14000US06037113321,6037113321,"Census Tract 1133.21, Los Angeles, CA",76897,16046
14000US06037113322,6037113322,"Census Tract 1133.22, Los Angeles, CA",94983,13287
14000US06037113401,6037113401,"Census Tract 1134.01, Los Angeles, CA",86101,12085
14000US06037113421,6037113421,"Census Tract 1134.21, Los Angeles, CA",65060,8613
14000US06037113422,6037113422,"Census Tract 1134.22, Los Angeles, CA",75109,10197
14000US06037115101,6037115101,"Census Tract 1151.01, Los Angeles, CA",141711,22945
14000US06037115103,6037115103,"Census Tract 1151.03, Los Angeles, CA",43958,16906
14000US06037115104,6037115104,"Census Tract 1151.04, Los Angeles, CA",54861,8965
14000US06037115201,6037115201,"Census Tract 1152.01, Los Angeles, CA",65208,14442
14000US06037115202,6037115202,"Census Tract 1152.02, Los Angeles, CA",65125,13402
14000US06037115301,6037115301,"Census Tract 1153.01, Los Angeles, CA",94279,20089
14000US06037115302,6037115302,"Census Tract 1153.02, Los Angeles, CA",45549,5111
14000US06037115401,6037115401,"Census Tract 1154.01, Los Angeles, CA",71646,10863
14000US06037115403,6037115403,"Census Tract 1154.03, Los Angeles, CA",54407,5828
14000US06037115404,6037115404,"Census Tract 1154.04, Los Angeles, CA",66136,10633
14000US06037117101,6037117101,"Census Tract 1171.01, Los Angeles, CA",90750,13801
14000US06037117102,6037117102,"Census Tract 1171.02, Los Angeles, CA",69500,15098
14000US06037117201,6037117201,"Census Tract 1172.01, Los Angeles, CA",61335,12685
14000US06037117202,6037117202,"Census Tract 1172.02, Los Angeles, CA",100326,15225
14000US06037117301,6037117301,"Census Tract 1173.01, Los Angeles, CA",97634,17795
14000US06037117302,6037117302,"Census Tract 1173.02, Los Angeles, CA",102917,9555
14000US06037117303,6037117303,"Census Tract 1173.03, Los Angeles, CA",83931,14811
14000US06037117404,6037117404,"Census Tract 1174.04, Los Angeles, CA",107981,18036
14000US06037117405,6037117405,"Census Tract 1174.05, Los Angeles, CA",36538,7081
14000US06037117407,6037117407,"Census Tract 1174.07, Los Angeles, CA",33480,6180
14000US06037117408,6037117408,"Census Tract 1174.08, Los Angeles, CA",36250,5369
14000US06037117510,6037117510,"Census Tract 1175.10, Los Angeles, CA",46838,8608
14000US06037117520,6037117520,"Census Tract 1175.20, Los Angeles, CA",36003,3512
14000US06037117530,6037117530,"Census Tract 1175.30, Los Angeles, CA",55483,5843
14000US06037119001,6037119001,"Census Tract 1190.01, Los Angeles, CA",85758,8043
14000US06037119002,6037119002,"Census Tract 1190.02, Los Angeles, CA",80664,6977
14000US06037119201,6037119201,"Census Tract 1192.01, Los Angeles, CA",91111,6005
14000US06037119202,6037119202,"Census Tract 1192.02, Los Angeles, CA",67500,14854
14000US06037119310,6037119310,"Census Tract 1193.10, Los Angeles, CA",47959,7471
14000US06037119320,6037119320,"Census Tract 1193.20, Los Angeles, CA",72813,18384
14000US06037119340,6037119340,"Census Tract 1193.40, Los Angeles, CA",30817,5234
14000US06037119341,6037119341,"Census Tract 1193.41, Los Angeles, CA",51083,8755
14000US06037119342,6037119342,"Census Tract 1193.42, Los Angeles, CA",58611,9596
14000US06037119400,6037119400,"Census Tract 1194, Los Angeles, CA",83333,10764
14000US06037119700,6037119700,"Census Tract 1197, Los Angeles, CA",81688,13001
14000US06037119800,6037119800,"Census Tract 1198, Los Angeles, CA",82981,13843
14000US06037119900,6037119900,"Census Tract 1199, Los Angeles, CA",78000,14084
14000US06037120010,6037120010,"Census Tract 1200.10, Los Angeles, CA",49432,12269
14000US06037120020,6037120020,"Census Tract 1200.20, Los Angeles, CA",37045,6357
14000US06037120030,6037120030,"Census Tract 1200.30, Los Angeles, CA",30625,9816
14000US06037120103,6037120103,"Census Tract 1201.03, Los Angeles, CA",26875,5680
14000US06037120104,6037120104,"Census Tract 1201.04, Los Angeles, CA",38672,5473
14000US06037120105,6037120105,"Census Tract 1201.05, Los Angeles, CA",33984,6714
14000US06037120106,6037120106,"Census Tract 1201.06, Los Angeles, CA",36217,4434
14000US06037120107,6037120107,"Census Tract 1201.07, Los Angeles, CA",30481,4502
14000US06037120108,6037120108,"Census Tract 1201.08, Los Angeles, CA",39032,8865
14000US06037120300,6037120300,"Census Tract 1203, Los Angeles, CA",70208,13435
14000US06037120400,6037120400,"Census Tract 1204, Los Angeles, CA",54733,5049
14000US06037121010,6037121010,"Census Tract 1210.10, Los Angeles, CA",62903,20529
14000US06037121020,6037121020,"Census Tract 1210.20, Los Angeles, CA",53345,17518
14000US06037121101,6037121101,"Census Tract 1211.01, Los Angeles, CA",59267,9339
14000US06037121102,6037121102,"Census Tract 1211.02, Los Angeles, CA",48750,11641
14000US06037121210,6037121210,"Census Tract 1212.10, Los Angeles, CA",67375,17949
14000US06037121221,6037121221,"Census Tract 1212.21, Los Angeles, CA",64335,10684
14000US06037121222,6037121222,"Census Tract 1212.22, Los Angeles, CA",55192,11630
14000US06037121600,6037121600,"Census Tract 1216, Los Angeles, CA",79474,13765
14000US06037121801,6037121801,"Census Tract 1218.01, Los Angeles, CA",42520,6773
14000US06037121802,6037121802,"Census Tract 1218.02, Los Angeles, CA",68083,11606
14000US06037121900,6037121900,"Census Tract 1219, Los Angeles, CA",54702,14363
14000US06037122000,6037122000,"Census Tract 1220, Los Angeles, CA",75486,16506
14000US06037122120,6037122120,"Census Tract 1221.20, Los Angeles, CA",61625,9357
14000US06037122121,6037122121,"Census Tract 1221.21, Los Angeles, CA",53125,6766
14000US06037122122,6037122122,"Census Tract 1221.22, Los Angeles, CA",41811,6104
14000US06037122200,6037122200,"Census Tract 1222, Los Angeles, CA",54250,6263
14000US06037122410,6037122410,"Census Tract 1224.10, Los Angeles, CA",36222,5363
14000US06037122420,6037122420,"Census Tract 1224.20, Los Angeles, CA",44967,10661
14000US06037123010,6037123010,"Census Tract 1230.10, Los Angeles, CA",36518,8496
14000US06037123020,6037123020,"Census Tract 1230.20, Los Angeles, CA",42056,12406
14000US06037123103,6037123103,"Census Tract 1231.03, Los Angeles, CA",48902,8245
14000US06037123104,6037123104,"Census Tract 1231.04, Los Angeles, CA",41766,5612
14000US06037123203,6037123203,"Census Tract 1232.03, Los Angeles, CA",48850,13600
14000US06037123204,6037123204,"Census Tract 1232.04, Los Angeles, CA",41375,6920
14000US06037123205,6037123205,"Census Tract 1232.05, Los Angeles, CA",46083,5995
14000US06037123206,6037123206,"Census Tract 1232.06, Los Angeles, CA",32266,4110
14000US06037123301,6037123301,"Census Tract 1233.01, Los Angeles, CA",57031,13893
14000US06037123303,6037123303,"Census Tract 1233.03, Los Angeles, CA",44477,10585
14000US06037123304,6037123304,"Census Tract 1233.04, Los Angeles, CA",39631,7250
14000US06037123410,6037123410,"Census Tract 1234.10, Los Angeles, CA",50481,11837
14000US06037123420,6037123420,"Census Tract 1234.20, Los Angeles, CA",44790,8189
14000US06037123510,6037123510,"Census Tract 1235.10, Los Angeles, CA",45338,10526
14000US06037123520,6037123520,"Census Tract 1235.20, Los Angeles, CA",45521,8821
14000US06037123601,6037123601,"Census Tract 1236.01, Los Angeles, CA",55241,5845
14000US06037123602,6037123602,"Census Tract 1236.02, Los Angeles, CA",50667,9566
14000US06037123700,6037123700,"Census Tract 1237, Los Angeles, CA",65278,14059
14000US06037123800,6037123800,"Census Tract 1238, Los Angeles, CA",75096,27454
14000US06037123901,6037123901,"Census Tract 1239.01, Los Angeles, CA",66771,22414
14000US06037123902,6037123902,"Census Tract 1239.02, Los Angeles, CA",70592,10535
14000US06037124000,6037124000,"Census Tract 1240, Los Angeles, CA",86881,10434
14000US06037124102,6037124102,"Census Tract 1241.02, Los Angeles, CA",50064,6026
14000US06037124103,6037124103,"Census Tract 1241.03, Los Angeles, CA",43787,5797
14000US06037124104,6037124104,"Census Tract 1241.04, Los Angeles, CA",43816,9194
14000US06037124105,6037124105,"Census Tract 1241.05, Los Angeles, CA",45764,6439
14000US06037124201,6037124201,"Census Tract 1242.01, Los Angeles, CA",64364,9242
14000US06037124203,6037124203,"Census Tract 1242.03, Los Angeles, CA",52561,9622
14000US06037124204,6037124204,"Census Tract 1242.04, Los Angeles, CA",43385,5936
14000US06037124300,6037124300,"Census Tract 1243, Los Angeles, CA",42826,11760
14000US06037124400,6037124400,"Census Tract 1244, Los Angeles, CA",82500,17867
14000US06037124500,6037124500,"Census Tract 1245, Los Angeles, CA",90565,24905
14000US06037124600,6037124600,"Census Tract 1246, Los Angeles, CA",64712,10227
14000US06037124700,6037124700,"Census Tract 1247, Los Angeles, CA",89674,29364
14000US06037124902,6037124902,"Census Tract 1249.02, Los Angeles, CA",31852,7760
14000US06037124903,6037124903,"Census Tract 1249.03, Los Angeles, CA",61429,8148
14000US06037125100,6037125100,"Census Tract 1251, Los Angeles, CA",76595,6558
14000US06037125200,6037125200,"Census Tract 1252, Los Angeles, CA",75260,13204
14000US06037125310,6037125310,"Census Tract 1253.10, Los Angeles, CA",48958,11910
14000US06037125320,6037125320,"Census Tract 1253.20, Los Angeles, CA",39977,9416
14000US06037125401,6037125401,"Census Tract 1254.01, Los Angeles, CA",62934,8571
14000US06037125402,6037125402,"Census Tract 1254.02, Los Angeles, CA",80299,16094
14000US06037125501,6037125501,"Census Tract 1255.01, Los Angeles, CA",46767,13339
14000US06037125502,6037125502,"Census Tract 1255.02, Los Angeles, CA",68700,6841
14000US06037125600,6037125600,"Census Tract 1256, Los Angeles, CA",82401,21919
14000US06037127102,6037127102,"Census Tract 1271.02, Los Angeles, CA",44955,11645
14000US06037127103,6037127103,"Census Tract 1271.03, Los Angeles, CA",52096,8328
14000US06037127104,6037127104,"Census Tract 1271.04, Los Angeles, CA",39067,7040
14000US06037127210,6037127210,"Census Tract 1272.10, Los Angeles, CA",55997,4349
14000US06037127220,6037127220,"Census Tract 1272.20, Los Angeles, CA",39645,4408
14000US06037127300,6037127300,"Census Tract 1273, Los Angeles, CA",49375,14607
14000US06037127400,6037127400,"Census Tract 1274, Los Angeles, CA",53695,5823
14000US06037127520,6037127520,"Census Tract 1275.20, Los Angeles, CA",35728,5435
14000US06037127603,6037127603,"Census Tract 1276.03, Los Angeles, CA",42292,5968
14000US06037127604,6037127604,"Census Tract 1276.04, Los Angeles, CA",44798,6311
14000US06037127605,6037127605,"Census Tract 1276.05, Los Angeles, CA",46071,5210
14000US06037127606,6037127606,"Census Tract 1276.06, Los Angeles, CA",60904,8499
14000US06037127711,6037127711,"Census Tract 1277.11, Los Angeles, CA",64018,12330
14000US06037127712,6037127712,"Census Tract 1277.12, Los Angeles, CA",42662,4862
14000US06037127803,6037127803,"Census Tract 1278.03, Los Angeles, CA",43071,8872
14000US06037127804,6037127804,"Census Tract 1278.04, Los Angeles, CA",53792,7264
14000US06037127805,6037127805,"Census Tract 1278.05, Los Angeles, CA",49457,8334
14000US06037127806,6037127806,"Census Tract 1278.06, Los Angeles, CA",42946,15830
14000US06037127910,6037127910,"Census Tract 1279.10, Los Angeles, CA",46190,2609
14000US06037127920,6037127920,"Census Tract 1279.20, Los Angeles, CA",56458,16822
14000US06037128101,6037128101,"Census Tract 1281.01, Los Angeles, CA",56023,10032
14000US06037128102,6037128102,"Census Tract 1281.02, Los Angeles, CA",46699,8772
14000US06037128210,6037128210,"Census Tract 1282.10, Los Angeles, CA",31168,6619
