,GEOID10,med_hh_inc,total,own_occu
247,06037651102,77350.0,1645.0,789.0
248,06037651221,92083.0,1395.0,413.0
249,06037651401,90938.0,1127.0,751.0
250,06037651402,101341.0,2293.0,1392.0
251,06037670001,69766.0,1335.0,865.0
252,06037670002,75662.0,1463.0,613.0
253,06037670003,76667.0,2266.0,1146.0
254,06037670100,62244.0,2748.0,1058.0
255,06037670201,146771.0,1441.0,1174.0
256,06037670202,192188.0,889.0,846.0
257,06037670701,132527.0,2497.0,2053.0
258,06037980005,,0.0,0.0
259,06037980015,66000.0,350.0,0.0
260,06037294110,51011.0,1114.0,585.0
261,06037294120,57159.0,581.0,273.0
262,06037294200,70272.0,1367.0,853.0
263,06037294510,49979.0,1079.0,380.0
264,06037294520,50732.0,906.0,301.0
265,06037294610,49773.0,1160.0,452.0
266,06037294620,44148.0,1099.0,444.0
267,06037294701,36719.0,895.0,120.0
268,06037294810,49952.0,1025.0,123.0
269,06037294820,39400.0,874.0,89.0
270,06037294830,44527.0,1038.0,167.0
271,06037543304,86435.0,1946.0,1746.0
272,06037543305,71750.0,1077.0,957.0
273,06037543306,77426.0,2123.0,1391.0
274,06037543321,90022.0,1831.0,1494.0
275,06037543322,114388.0,2154.0,2020.0
276,06037543400,79875.0,954.0,732.0
277,06037543701,90781.0,622.0,460.0
278,06037543702,78911.0,1797.0,1282.0
279,06037543703,105208.0,907.0,690.0
280,06037543801,81190.0,1360.0,1111.0
281,06037543802,77339.0,1941.0,1032.0
282,06037543903,71667.0,1144.0,814.0
283,06037543905,66250.0,949.0,550.0
284,06037544001,78611.0,1144.0,754.0
285,06037544002,80625.0,808.0,569.0
286,06037571701,51827.0,1813.0,653.0
287,06037571800,106538.0,1330.0,964.0
288,06037572100,103603.0,319.0,311.0
289,06037572201,59091.0,2078.0,1207.0
290,06037572202,93580.0,1094.0,761.0
291,06037572301,55724.0,963.0,374.0
292,06037572302,75750.0,835.0,493.0
293,06037572400,95152.0,323.0,297.0
294,06037572500,29577.0,1232.0,423.0
295,06037572600,65625.0,1217.0,905.0
296,06037572700,68500.0,1334.0,851.0
297,06037572800,13500.0,226.0,0.0
298,06037572900,47262.0,1318.0,465.0
299,06037573003,69038.0,622.0,364.0
300,06037573004,41911.0,1655.0,203.0
301,06037573100,60616.0,2406.0,760.0
302,06037575401,32452.0,1217.0,47.0
303,06037575500,14271.0,41.0,0.0
304,06037575801,36573.0,696.0,41.0
305,06037575802,39432.0,1633.0,180.0
306,06037575803,27235.0,1289.0,161.0
307,06037575901,54799.0,1382.0,524.0
308,06037575902,44855.0,2970.0,371.0
309,06037576001,80462.0,3238.0,1120.0
310,06037980002,,0.0,0.0
311,06037980014,,5.0,0.0
312,06037980025,,0.0,0.0
313,06037237720,33897.0,906.0,170.0
314,06037238310,26356.0,1492.0,133.0
315,06037238320,34131.0,1143.0,178.0
316,06037240300,22875.0,1636.0,339.0
317,06037240401,42662.0,1486.0,436.0
318,06037240402,42422.0,1224.0,590.0
319,06037241120,35114.0,1319.0,439.0
320,06037241201,48864.0,868.0,491.0
321,06037241202,34662.0,1596.0,638.0
322,06037241300,46111.0,744.0,327.0
323,06037291110,43544.0,1340.0,300.0
324,06037291120,53393.0,648.0,174.0
325,06037291130,67587.0,985.0,679.0
326,06037291210,61277.0,1603.0,787.0
327,06037291220,50260.0,1037.0,402.0
328,06037237800,48922.0,1398.0,845.0
329,06037237900,51612.0,1408.0,940.0
330,06037238000,61773.0,2342.0,1334.0
331,06037238100,48034.0,1823.0,883.0
332,06037238200,45075.0,2172.0,1006.0
333,06037238400,54746.0,1906.0,1189.0
334,06037600100,35000.0,2180.0,361.0
335,06037600201,35081.0,1452.0,194.0
336,06037600202,34819.0,2201.0,580.0
337,06037600302,57188.0,1061.0,738.0
338,06037600303,21429.0,1212.0,164.0
339,06037600304,33262.0,1115.0,189.0
340,06037600400,64625.0,1542.0,847.0
341,06037600501,66908.0,871.0,623.0
342,06037600502,66542.0,635.0,447.0
343,06037600601,80708.0,920.0,553.0
344,06037600602,42143.0,696.0,38.0
345,06037600702,98571.0,1402.0,1053.0
346,06037600703,72500.0,874.0,712.0
347,06037600704,70054.0,1215.0,535.0
348,06037600801,93125.0,1232.0,1019.0
349,06037600802,69519.0,1127.0,416.0
350,06037601001,32143.0,1072.0,147.0
351,06037601002,53008.0,1894.0,402.0
352,06037601100,34849.0,2104.0,244.0
353,06037601202,67083.0,978.0,540.0
354,06037601211,44934.0,1050.0,147.0
355,06037601212,44932.0,2068.0,340.0
356,06037601700,39013.0,1303.0,316.0
357,06037601801,40870.0,802.0,297.0
358,06037601802,63692.0,998.0,331.0
359,06037601900,50933.0,1238.0,288.0
360,06037602002,45846.0,809.0,295.0
361,06037602003,45948.0,1258.0,439.0
362,06037602004,51875.0,1052.0,463.0
363,06037602103,34645.0,2090.0,402.0
364,06037602104,51750.0,1739.0,366.0
365,06037602105,57391.0,1248.0,274.0
366,06037602106,46581.0,2001.0,373.0
367,06037602402,72939.0,2085.0,1071.0
368,06037602403,55833.0,1666.0,239.0
369,06037602404,47541.0,1818.0,257.0
370,06037602504,45421.0,1748.0,129.0
371,06037602505,37237.0,1660.0,74.0
372,06037602506,39016.0,1721.0,165.0
373,06037602507,52969.0,1835.0,191.0
374,06037602508,50112.0,2383.0,285.0
375,06037602509,68750.0,1141.0,380.0
376,06037602600,55882.0,2881.0,1789.0
377,06037602700,97288.0,1276.0,1003.0
378,06037602801,38438.0,1247.0,423.0
379,06037602802,68097.0,1399.0,1153.0
380,06037602900,47353.0,1316.0,690.0
381,06037603001,52656.0,2421.0,791.0
382,06037603004,53889.0,634.0,163.0
383,06037603005,50656.0,1872.0,542.0
384,06037603006,58750.0,810.0,312.0
385,06037603101,57188.0,1481.0,582.0
386,06037603102,58958.0,1318.0,416.0
387,06037603200,83899.0,1163.0,836.0
388,06037603301,53226.0,1418.0,407.0
389,06037603302,52722.0,1630.0,836.0
390,06037603400,63427.0,1421.0,823.0
391,06037603500,81797.0,883.0,743.0
392,06037603600,76447.0,1364.0,947.0
393,06037603702,81304.0,1510.0,1275.0
394,06037603703,93750.0,806.0,710.0
395,06037603704,52590.0,2112.0,344.0
396,06037603801,59085.0,1500.0,328.0
397,06037603802,58716.0,1154.0,454.0
398,06037604001,67407.0,1296.0,481.0
399,06037604002,61607.0,1511.0,450.0
400,06037604100,68740.0,2018.0,722.0
401,06037650001,96250.0,2094.0,1406.0
402,06037650003,63906.0,1163.0,371.0
403,06037650004,75994.0,1529.0,731.0
404,06037650102,90987.0,755.0,591.0
405,06037650200,97054.0,1895.0,1484.0
406,06037650300,71250.0,2520.0,1183.0
407,06037239502,41250.0,920.0,330.0
408,06037239602,38295.0,893.0,248.0
409,06037239701,36232.0,1114.0,297.0
410,06037239702,31189.0,1096.0,283.0
411,06037239801,46938.0,893.0,279.0
412,06037239802,42171.0,1393.0,433.0
413,06037240010,30612.0,984.0,210.0
414,06037240020,38266.0,1283.0,620.0
415,06037240200,40286.0,1406.0,316.0
416,06037240500,40764.0,1737.0,484.0
417,06037240600,43250.0,1316.0,421.0
418,06037240700,43584.0,1695.0,726.0
419,06037240800,41277.0,1154.0,562.0
420,06037240900,45619.0,1483.0,640.0
421,06037241001,41563.0,1163.0,500.0
422,06037241002,59116.0,1039.0,446.0
423,06037241110,47090.0,795.0,301.0
424,06037241400,36667.0,962.0,326.0
425,06037242000,30698.0,1074.0,332.0
426,06037242100,18177.0,751.0,2.0
427,06037242200,28313.0,1661.0,546.0
428,06037242300,26515.0,1276.0,296.0
429,06037242600,16586.0,1381.0,151.0
430,06037242700,46492.0,1281.0,634.0
431,06037243000,51479.0,1350.0,803.0
432,06037243100,27879.0,1530.0,450.0
433,06037534403,44318.0,714.0,92.0
434,06037534501,55811.0,1239.0,510.0
435,06037534502,48900.0,988.0,661.0
436,06037534700,71042.0,1008.0,742.0
437,06037534803,39432.0,1177.0,510.0
438,06037534804,51475.0,885.0,431.0
439,06037534900,59333.0,1476.0,655.0
440,06037535101,39669.0,1795.0,593.0
441,06037535102,56250.0,1043.0,510.0
442,06037535200,52011.0,1263.0,562.0
443,06037535300,43000.0,1428.0,705.0
444,06037535400,44205.0,771.0,205.0
445,06037535501,41599.0,1017.0,191.0
446,06037535502,52059.0,1246.0,398.0
447,06037535503,40739.0,643.0,231.0
448,06037535603,43073.0,1019.0,373.0
449,06037535604,51172.0,1020.0,367.0
450,06037535605,46081.0,1122.0,259.0
451,06037535606,45208.0,451.0,145.0
452,06037535607,46081.0,1090.0,648.0
453,06037535701,52500.0,1420.0,540.0
454,06037535702,54157.0,1439.0,477.0
455,06037535802,53545.0,1609.0,862.0
456,06037535803,49813.0,1121.0,303.0
457,06037535804,45739.0,1346.0,470.0
458,06037535901,51968.0,1448.0,717.0
459,06037535902,72689.0,1578.0,1091.0
460,06037540102,60934.0,1562.0,988.0
461,06037540201,34855.0,591.0,103.0
462,06037540202,39707.0,1601.0,333.0
463,06037540203,48663.0,1282.0,414.0
464,06037540300,59200.0,1172.0,649.0
465,06037540400,52045.0,442.0,227.0
466,06037540501,57386.0,1053.0,606.0
467,06037540502,35213.0,1454.0,204.0
468,06037540600,31875.0,1130.0,356.0
469,06037540700,44623.0,810.0,409.0
470,06037540800,66964.0,1514.0,1031.0
471,06037540901,40033.0,1201.0,717.0
472,06037540902,59907.0,1487.0,922.0
473,06037541001,50060.0,365.0,305.0
474,06037541002,64490.0,982.0,830.0
475,06037541100,59375.0,918.0,630.0
476,06037541200,82125.0,1853.0,1340.0
477,06037541300,48701.0,1473.0,1034.0
478,06037541400,46563.0,1696.0,775.0
479,06037541500,51024.0,1349.0,436.0
480,06037541603,37027.0,676.0,262.0
481,06037541604,42188.0,1453.0,441.0
482,06037541605,50802.0,1289.0,503.0
483,06037541606,40509.0,611.0,181.0
484,06037541700,71532.0,1396.0,1000.0
485,06037541801,50714.0,1322.0,572.0
486,06037542000,55481.0,1141.0,722.0
487,06037542103,56089.0,847.0,448.0
488,06037542105,48125.0,1095.0,395.0
489,06037542200,51181.0,1576.0,998.0
490,06037542401,48938.0,1223.0,789.0
491,06037542402,68203.0,758.0,538.0
492,06037542501,58934.0,1167.0,623.0
493,06037542502,38051.0,1303.0,380.0
494,06037542601,37589.0,677.0,177.0
495,06037542602,60051.0,1421.0,580.0
496,06037542700,61573.0,1345.0,837.0
497,06037542800,57270.0,899.0,739.0
498,06037542900,53550.0,737.0,437.0
499,06037543000,52333.0,1168.0,774.0
500,06037543100,57445.0,1765.0,1257.0
501,06037543201,57805.0,908.0,549.0
502,06037543202,46250.0,1160.0,548.0
503,06037570402,70417.0,953.0,690.0
504,06037570403,48676.0,1124.0,408.0
505,06037570404,54777.0,857.0,516.0
506,06037262303,250001.0,1086.0,1040.0
507,06037262501,224962.0,1397.0,1169.0
508,06037262802,217292.0,1327.0,1030.0
509,06037264000,220417.0,1211.0,914.0
510,06037264102,108004.0,1649.0,593.0
511,06037264103,105481.0,1464.0,341.0
512,06037264301,101439.0,3169.0,614.0
513,06037264302,92381.0,2962.0,1037.0
514,06037265301,,0.0,0.0
515,06037265303,21506.0,1477.0,68.0
516,06037265304,21228.0,839.0,0.0
517,06037265305,20655.0,1575.0,0.0
518,06037265410,117885.0,610.0,360.0
519,06037265420,198542.0,751.0,474.0
520,06037265510,54847.0,2200.0,284.0
521,06037267300,68913.0,2022.0,257.0
522,06037267402,87095.0,2707.0,479.0
523,06037267403,88631.0,1689.0,259.0
524,06037267404,82500.0,1622.0,246.0
525,06037267501,86086.0,2751.0,434.0
526,06037267502,86343.0,1651.0,412.0
527,06037267600,70692.0,1318.0,480.0
528,06037267700,94185.0,1665.0,534.0
529,06037271400,133547.0,1310.0,1163.0
530,06037273100,121500.0,1218.0,554.0
531,06037273200,88720.0,1532.0,529.0
532,06037273300,71823.0,1474.0,347.0
533,06037273402,72258.0,1816.0,486.0
534,06037273502,90161.0,1662.0,352.0
535,06037273600,123819.0,1081.0,641.0
536,06037273700,96719.0,1243.0,494.0
537,06037273800,96750.0,1499.0,505.0
538,06037273902,144924.0,2126.0,810.0
539,06037274100,116141.0,2326.0,829.0
540,06037274202,128766.0,2285.0,1293.0
541,06037701100,45536.0,48.0,17.0
542,06037701201,234519.0,1437.0,1295.0
543,06037701202,126875.0,1684.0,567.0
544,06037701302,92023.0,2775.0,510.0
545,06037701304,126713.0,3012.0,1557.0
546,06037701402,103590.0,3558.0,428.0
547,06037701501,107621.0,2669.0,510.0
548,06037701502,95417.0,1731.0,352.0
549,06037701601,136500.0,1730.0,963.0
550,06037701602,106923.0,1874.0,613.0
551,06037701701,75417.0,1742.0,465.0
552,06037701702,67619.0,1808.0,214.0
553,06037701801,65888.0,2771.0,489.0
554,06037701802,68828.0,1803.0,327.0
555,06037701902,67422.0,3054.0,124.0
556,06037702002,91859.0,3465.0,828.0
557,06037702102,81727.0,3677.0,768.0
558,06037702201,90769.0,2044.0,801.0
559,06037702202,121719.0,1658.0,885.0
560,06037702300,114514.0,2817.0,1442.0
561,06037702901,118162.0,5537.0,316.0
562,06037236000,90790.0,2189.0,1724.0
563,06037269903,65750.0,1705.0,99.0
564,06037269905,80119.0,1424.0,0.0
565,06037271801,55417.0,1604.0,259.0
566,06037271802,85318.0,2602.0,366.0
567,06037271901,92991.0,1409.0,515.0
568,06037272301,84583.0,1293.0,498.0
569,06037272302,59286.0,1862.0,226.0
570,06037275101,97500.0,470.0,175.0
571,06037275102,58221.0,1421.0,420.0
572,06037275200,62241.0,1721.0,424.0
573,06037275311,90261.0,2337.0,1016.0
574,06037275500,42544.0,1907.0,494.0
575,06037275602,148965.0,5663.0,1903.0
576,06037275603,84130.0,1188.0,725.0
577,06037276100,66520.0,2837.0,500.0
578,06037277000,137961.0,2205.0,1601.0
579,06037601301,72679.0,733.0,481.0
580,06037601303,50077.0,2075.0,306.0
581,06037702501,111136.0,1996.0,1096.0
582,06037702502,86959.0,2016.0,1255.0
583,06037702600,120671.0,2327.0,1771.0
584,06037702700,135430.0,1271.0,950.0
585,06037702801,62061.0,2048.0,737.0
586,06037702802,90438.0,887.0,460.0
587,06037703001,109389.0,3158.0,1658.0
588,06037703002,101534.0,2859.0,2115.0
589,06037271500,100679.0,1349.0,714.0
590,06037271600,89792.0,1936.0,579.0
591,06037271902,73918.0,1851.0,586.0
592,06037272100,94911.0,1834.0,1030.0
593,06037272201,62716.0,1097.0,158.0
594,06037272202,63355.0,1588.0,280.0
595,06037275302,96917.0,2656.0,1553.0
596,06037275400,137027.0,2116.0,913.0
597,06037702803,63485.0,1222.0,356.0
598,06037214600,102868.0,1319.0,275.0
599,06037214700,96579.0,1160.0,432.0
600,06037214800,108648.0,1396.0,385.0
601,06037214901,71844.0,2022.0,474.0
602,06037214902,84840.0,1534.0,288.0
603,06037216300,94620.0,2101.0,614.0
604,06037216401,75597.0,1807.0,180.0
605,06037216402,75000.0,1266.0,106.0
606,06037216700,79730.0,1628.0,628.0
607,06037216800,91821.0,1327.0,446.0
608,06037216900,89547.0,2471.0,1169.0
609,06037217001,87250.0,944.0,440.0
610,06037217002,87934.0,2025.0,586.0
611,06037218400,64018.0,1405.0,419.0
612,06037219901,39006.0,1430.0,367.0
613,06037219902,49531.0,1219.0,574.0
614,06037220100,40091.0,989.0,494.0
615,06037265100,112500.0,1264.0,800.0
616,06037265700,85083.0,2393.0,973.0
617,06037267100,105284.0,2867.0,1419.0
618,06037267800,86121.0,1164.0,639.0
619,06037267901,118393.0,1421.0,1131.0
620,06037267902,138750.0,1543.0,899.0
621,06037269000,127054.0,2029.0,1291.0
622,06037269100,88656.0,1881.0,645.0
623,06037269300,165208.0,1489.0,1199.0
624,06037269500,191538.0,1304.0,1135.0
625,06037269601,53664.0,1035.0,118.0
626,06037269602,58668.0,1161.0,184.0
627,06037269700,89450.0,1627.0,709.0
628,06037269800,83214.0,1548.0,272.0
629,06037269904,70682.0,2148.0,37.0
630,06037269906,95542.0,1564.0,72.0
631,06037269907,78895.0,1384.0,126.0
632,06037270100,71389.0,2332.0,175.0
633,06037270200,67516.0,1271.0,441.0
634,06037270300,74323.0,973.0,544.0
635,06037271100,89219.0,934.0,599.0
636,06037271701,93972.0,2677.0,753.0
637,06037271702,67446.0,1893.0,470.0
638,06037700801,83333.0,2446.0,823.0
639,06037700802,85078.0,1924.0,387.0
640,06037700901,86143.0,1554.0,700.0
641,06037700902,90444.0,3334.0,665.0
642,06037701000,100391.0,2652.0,901.0
643,06037702400,78594.0,1965.0,554.0
644,06037265201,72361.0,860.0,516.0
645,06037265202,74417.0,1873.0,574.0
646,06037265520,104559.0,2290.0,837.0
647,06037265601,119886.0,1372.0,515.0
648,06037265602,117629.0,1455.0,858.0
649,06037267200,86601.0,2941.0,1021.0
650,06037271200,71393.0,1177.0,197.0
651,06037271300,101006.0,2021.0,1321.0
652,06037128400,72500.0,1724.0,894.0
653,06037128500,74375.0,1992.0,697.0
654,06037128801,65449.0,1818.0,501.0
655,06037128802,89735.0,2022.0,702.0
656,06037128910,104392.0,1954.0,884.0
657,06037139001,86488.0,2235.0,1130.0
658,06037139200,70463.0,2098.0,1166.0
659,06037139502,79500.0,1090.0,687.0
660,06037139503,57006.0,2749.0,995.0
661,06037139504,56212.0,1801.0,441.0
662,06037139600,77000.0,2202.0,1329.0
663,06037139701,152833.0,1948.0,1451.0
664,06037139702,205964.0,2229.0,2053.0
665,06037141302,92769.0,2978.0,781.0
666,06037141303,82448.0,1779.0,432.0
667,06037141304,98375.0,1419.0,622.0
668,06037141400,101327.0,2016.0,983.0
669,06037141500,219698.0,1087.0,1069.0
670,06037141600,196741.0,1611.0,1443.0
671,06037262100,217462.0,1131.0,988.0
672,06037262200,184000.0,1766.0,1405.0
673,06037262301,215750.0,859.0,807.0
674,06037262302,158571.0,1194.0,852.0
675,06037262400,250001.0,1101.0,989.0
676,06037980024,150250.0,75.0,51.0
677,06037194102,122829.0,1531.0,1190.0
678,06037194200,168227.0,1463.0,1149.0
679,06037194300,177383.0,1451.0,1055.0
680,06037194401,86800.0,1234.0,247.0
681,06037194402,100368.0,2028.0,642.0
682,06037194500,113571.0,944.0,476.0
683,06037261101,199094.0,1381.0,1217.0
684,06037261102,159563.0,1467.0,1377.0
685,06037700200,70580.0,4541.0,526.0
686,06037700300,94315.0,4033.0,970.0
687,06037700400,104338.0,3173.0,906.0
688,06037700501,76637.0,2351.0,898.0
689,06037700502,73500.0,2980.0,930.0
690,06037700600,191066.0,1728.0,1609.0
691,06037700700,184393.0,1131.0,1043.0
692,06037261200,188424.0,1603.0,1314.0
693,06037123601,55241.0,1885.0,650.0
694,06037123902,70592.0,1074.0,381.0
695,06037124000,86881.0,2117.0,975.0
696,06037124102,50064.0,1362.0,287.0
697,06037124203,52561.0,814.0,313.0
698,06037124204,43385.0,929.0,135.0
699,06037124300,42826.0,1150.0,297.0
700,06037124400,82500.0,1768.0,642.0
